"assessment","scenario","name","yr","Type","estimation","mu","lcl","ucl"
"MLS","s1","TWN_NW",1989,"relative","fit",0.330889030197894,0.461442871480201,0.461442871480201
"MLS","s1","TWN_NW",1990,"relative","fit",0.262149296293186,0.374843970322294,0.374843970322294
"MLS","s1","TWN_NW",1991,"relative","fit",0.37963647006493,0.531932835682819,0.531932835682819
"MLS","s1","TWN_NW",1992,"relative","fit",0.500179341818694,0.702653815795395,0.702653815795395
"MLS","s1","TWN_NW",1993,"relative","fit",0.46026548013811,0.643249329561147,0.643249329561147
"MLS","s1","TWN_NW",1994,"relative","fit",0.786924625806276,1.10344428913285,1.10344428913285
"MLS","s1","TWN_NW",1995,"relative","fit",0.816709984232208,1.22958646572045,1.22958646572045
"MLS","s1","TWN_NW",1996,"relative","fit",0.868797365587213,1.2789863295073,1.2789863295073
"MLS","s1","TWN_NW",1997,"relative","fit",0.670082860390993,0.970291525346916,0.970291525346916
"MLS","s1","TWN_NW",1998,"relative","fit",0.4743606143854,0.696844354064512,0.696844354064512
"MLS","s1","TWN_NW",1999,"relative","fit",0.459185959344135,0.681574519949397,0.681574519949397
"MLS","s1","TWN_NW",2000,"relative","fit",0.397803242553937,0.598831884212393,0.598831884212393
"MLS","s1","TWN_NW",2001,"relative","fit",0.404964974599894,0.605733682429551,0.605733682429551
"MLS","s1","TWN_NW",2002,"relative","fit",0.449249552395522,0.659228610624729,0.659228610624729
"MLS","s1","TWN_NW",2003,"relative","fit",0.336396962973411,0.505429735219746,0.505429735219746
"MLS","s1","TWN_NW",2004,"relative","fit",0.290168802501285,0.424447000865037,0.424447000865037
"MLS","s1","TWN_NW",2005,"relative","fit",0.204476897533226,0.304326843321681,0.304326843321681
"MLS","s1","TWN_NW",2006,"relative","fit",0.191592901155763,0.277942288543576,0.277942288543576
"MLS","s1","TWN_NW",2007,"relative","fit",0.133176147382313,0.195245011284086,0.195245011284086
"MLS","s1","TWN_NW",2008,"relative","fit",0.211971274894548,0.295099828844858,0.295099828844858
"MLS","s1","TWN_NW",2009,"relative","fit",0.140579226099375,0.201670833457281,0.201670833457281
"MLS","s1","TWN_NW",2010,"relative","fit",0.244741999525496,0.349459629541401,0.349459629541401
"MLS","s1","TWN_NW",2011,"relative","fit",0.258645602479034,0.397004573675701,0.397004573675701
"MLS","s1","TWN_NW",2012,"relative","fit",0.257286867262354,0.388990348959386,0.388990348959386
"MLS","s1","TWN_NW",2013,"relative","fit",0.37898207578604,0.553790185426907,0.553790185426907
"MLS","s1","TWN_NW",2014,"relative","fit",0.285713951684206,0.428344499886162,0.428344499886162
"MLS","s1","TWN_NW",2015,"relative","fit",0.216145773658849,0.329184032805902,0.329184032805902
"MLS","s1","TWN_NW",2016,"relative","fit",0.262330708276312,0.395385399032951,0.395385399032951
"MLS","s1","TWN_NW",2017,"relative","fit",0.209414431055574,0.326862444675741,0.326862444675741
"MLS","s1","TWN_NW",2018,"relative","prj",0.198316030798226,0.31282266677088,0.31282266677088
"MLS","s1","TWN_NW",2019,"relative","prj",0.187966233010757,0.299714273401951,0.299714273401951
"MLS","s1","JAP_NE_hist",1976,"relative","fit",1.77561215482054,2.81439499036383,2.81439499036383
"MLS","s1","JAP_NE_hist",1977,"relative","fit",2.64756072282551,3.94618776898786,3.94618776898786
"MLS","s1","JAP_NE_hist",1978,"relative","fit",2.274780636131,3.37759175326799,3.37759175326799
"MLS","s1","JAP_NE_hist",1979,"relative","fit",1.85581691053391,2.62180128350002,2.62180128350002
"MLS","s1","JAP_NE_hist",1980,"relative","fit",1.64717198074205,2.30914342423032,2.30914342423032
"MLS","s1","JAP_NE_hist",1981,"relative","fit",1.24070671502824,1.72479933644825,1.72479933644825
"MLS","s1","JAP_NE_hist",1982,"relative","fit",0.921848875875817,1.26842241208468,1.26842241208468
"MLS","s1","JAP_NE_hist",1983,"relative","fit",0.663106828705078,0.939200567836496,0.939200567836496
"MLS","s1","JAP_NE_hist",1984,"relative","fit",0.823098994268003,1.17843095403512,1.17843095403512
"MLS","s1","JAP_NE_hist",1985,"relative","fit",0.814045390003608,1.16597477872408,1.16597477872408
