-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[34,5]   2090.136  250.586  1677.127  1916.050  2076.809  2235.880  2567.405 1.015   200
N.est[35,5]   1933.137  277.720  1454.841  1742.421  1913.684  2073.312  2683.701 1.044    47
N.est[36,5]   1985.364  222.154  1618.158  1834.510  1966.188  2143.399  2449.931 1.004   180
N.est[37,5]   2065.183  249.297  1583.078  1916.688  2053.069  2217.414  2581.374 1.001   200
N.est[38,5]   2002.430  256.079  1528.717  1821.626  2000.332  2168.205  2504.193 0.999   200
N.est[39,5]   1968.197  531.740  1032.520  1596.098  1934.113  2278.945  3244.801 1.002   200
N.est[40,5]   1957.990  546.405  1012.750  1571.889  1919.081  2281.547  3244.960 1.001   200
N.est[1,6]     188.613   25.787   145.109   171.238   186.172   201.660   247.974 1.006   200
N.est[2,6]     203.273   24.097   161.134   184.592   203.368   218.492   248.196 1.356     8
N.est[3,6]     147.913   18.761   113.477   135.553   147.118   158.478   187.392 1.000   200
N.est[4,6]     122.371   23.971    84.750   107.195   119.517   134.887   176.803 1.010   110
N.est[5,6]      97.266   12.083    77.638    88.948    95.787   104.896   118.779 1.007   200
N.est[6,6]      88.599   11.178    66.733    80.603    89.358    95.771   109.263 1.094    23
N.est[7,6]      50.942    8.333    37.647    44.730    49.817    56.073    69.651 1.411     7
N.est[8,6]      51.258   13.000    29.783    41.630    50.615    58.993    77.156 1.111    18
N.est[9,6]      51.238   15.425    27.299    39.375    49.437    62.286    86.738 1.075    28
N.est[10,6]     51.521   16.678    25.750    38.964    50.763    62.239    82.753 1.025   120
N.est[11,6]     50.796   17.783    21.218    38.078    48.076    62.587    85.704 1.042    79
N.est[12,6]     51.246   17.860    23.290    38.768    49.054    62.424    85.583 1.027    60
N.est[13,6]     51.672   17.740    26.696    37.985    49.783    62.834    93.163 1.051    34
N.est[14,6]     50.549   16.482    26.646    38.391    48.209    60.339    87.046 1.044    44
N.est[15,6]     48.587   12.249    30.274    40.066    47.343    55.754    78.349 1.013    96
N.est[16,6]     46.362    5.952    36.712    41.876    45.561    50.547    58.347 1.062    91
N.est[17,6]     50.034    6.084    39.152    45.713    49.863    53.870    64.749 1.026    91
N.est[18,6]     58.090    7.862    44.422    51.575    58.068    64.558    71.893 1.213    11
N.est[19,6]     38.662    5.146    29.876    35.070    38.262    41.058    50.464 1.131    17
N.est[20,6]     39.999    4.981    32.274    36.649    39.411    42.433    51.598 1.154    14
N.est[21,6]     33.866    4.131    26.380    31.051    33.385    36.351    42.830 1.015   120
N.est[22,6]     27.422    3.137    22.203    25.291    27.093    29.287    34.174 1.108    18
N.est[23,6]     25.206    3.261    20.032    22.856    24.520    27.077    32.901 1.068    26
N.est[24,6]     29.757    3.695    22.025    27.302    29.786    32.051    36.675 1.257    10
N.est[25,6]     24.743    2.841    19.824    22.560    24.762    26.985    29.904 1.383     7
N.est[26,6]     14.596    1.967    11.336    13.208    14.455    15.798    18.536 1.186    13
N.est[27,6]     10.752    1.891     8.034     9.392    10.544    11.758    15.088 1.519     6
N.est[28,6]     11.314    3.085     6.924     9.096    10.853    12.829    18.204 1.121    17
N.est[29,6]     12.170    3.997     5.865     9.037    11.674    14.530    20.338 1.033    45
N.est[30,6]     12.675    4.598     5.746     9.640    12.235    14.657    26.025 0.998   200
N.est[31,6]     13.191    4.683     5.361     9.738    12.614    16.307    24.172 1.001   200
N.est[32,6]     13.755    5.375     6.238    10.315    13.315    16.212    27.107 1.010   200
N.est[33,6]     14.037    4.786     6.054    10.740    13.408    16.608    25.707 1.009   200
N.est[34,6]     13.966    4.412     7.125    10.868    13.563    16.412    22.435 1.004   200
N.est[35,6]     14.120    3.269     8.549    12.015    13.886    15.872    21.306 0.996   200
N.est[36,6]     14.413    2.292    10.297    12.808    14.306    15.802    19.504 1.055    56
