"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual"
"Afr_penguin","s1","Boulders",1990,54,0.110137347445846,56.5347275598723,46.3417716470952,69.4511158392515,41.9771296857823,76.6598323782353,-0.0458710498473591
"Afr_penguin","s1","Boulders",1991,131,0.110137347445846,123.502042231902,100.415604856039,150.754956326031,90.7531080116863,165.690968614155,0.0589396309791361
"Afr_penguin","s1","Boulders",1992,158,0.110137347445846,161.005386926334,131.595462761531,196.509473010631,119.530254015634,217.618326830139,-0.0188427905675272
"Afr_penguin","s1","Boulders",1993,241,0.110137347445846,239.34420749199,195.315186615177,293.9096685422,177.754362304756,323.025731783555,0.0068942189393848
"Afr_penguin","s1","Boulders",1994,359,0.110137347445846,346.436775947395,282.509800270744,423.157429808925,256.04691502191,467.760396614607,0.0356220513053307
"Afr_penguin","s1","Boulders",1995,366,0.110137347445846,369.922995271991,302.804482634513,452.95587507722,273.769832930406,499.932180438405,-0.0106615296902373
"Afr_penguin","s1","Boulders",1996,416,0.110137347445846,431.261035573949,351.46672274636,527.856637072582,317.749036247316,583.002686380995,-0.0360282974935888
"Afr_penguin","s1","Boulders",1997,726,0.110137347445846,676.337239727545,550.280692710971,825.475760919654,498.507725894418,908.837470759109,0.0708581878421572
"Afr_penguin","s1","Boulders",1998,555,0.110137347445846,590.874205034428,483.053917274644,725.618678936367,436.983912408292,799.976725851224,-0.062635029962089
"Afr_penguin","s1","Boulders",1999,906,0.110137347445846,873.322507328526,711.672176244255,1064.42314476905,647.803622063483,1180.85230871251,0.0367343942214911
"Afr_penguin","s1","Boulders",2000,949,0.110137347445846,949.638159368131,773.952116798713,1163.54897254154,702.762804684492,1283.14395645719,-0.000672228553939114
"Afr_penguin","s1","Boulders",2001,1054,0.110137347445846,1047.40785581521,856.866859001797,1282.85062324352,775.625823749034,1421.35576421671,0.00627404698309864
"Afr_penguin","s1","Boulders",2002,1083,0.110137347445846,1079.1300602173,882.051534712777,1319.50507862668,793.609819839319,1455.16554569885,0.00357975127080046
"Afr_penguin","s1","Boulders",2003,1033,0.110137347445846,1050.42387288456,859.78935462326,1287.50913266767,778.323020993405,1415.07884098109,-0.0167265810331481
"Afr_penguin","s1","Boulders",2004,1196,0.110137347445846,1181.91979194207,968.628126656291,1442.12815473346,879.62055443391,1602.92087587397,0.0118425967640183
"Afr_penguin","s1","Boulders",2005,1227,0.110137347445846,1205.10090954871,983.718431181909,1477.258181853,894.394886321284,1628.5610753254,0.0180088599282771
"Afr_penguin","s1","Boulders",2006,1075,0.110137347445846,1060.44518975531,865.177902987772,1300.34591139752,786.378547910323,1431.98808793639,0.0136318512917066
"Afr_penguin","s1","Boulders",2007,824,0.110137347445846,850.442855608348,698.423548730384,1041.24301568463,628.724684034762,1148.6266803225,-0.0315866904961331
"Afr_penguin","s1","Boulders",2008,913,0.110137347445846,889.039313039664,725.65846426448,1086.62551260026,655.334557030335,1205.02293222605,0.0265944244168939
"Afr_penguin","s1","Boulders",2009,704,0.110137347445846,735.952641605435,601.30453714817,904.863798684617,545.907985617899,998.097651845435,-0.044387414855775
"Afr_penguin","s1","Boulders",2010,933,0.110137347445846,887.537362498043,723.667264553465,1088.57257125125,657.726252918466,1191.71580340502,0.0499545817945499
"Afr_penguin","s1","Boulders",2011,663,0.110137347445846,694.457008956689,566.234843856837,852.568778721148,516.384022820038,940.719338048768,-0.0463552679423227
"Afr_penguin","s1","Boulders",2012,831,0.110137347445846,792.742147608722,646.205590871162,969.035439665309,582.218275008538,1069.9317251705,0.0471317867415246
"Afr_penguin","s1","Boulders",2013,553,0.110137347445846,601.071115849326,491.62719903956,738.484103542295,443.073410305965,812.384102542087,-0.0833552552127355
"Afr_penguin","s1","Boulders",2014,962,0.110137347445846,918.564363139066,749.124066329177,1129.03005012784,680.399628013751,1249.06550254817,0.0462024742804505
"Afr_penguin","s1","Boulders",2015,982,0.110137347445846,964.19153209743,786.889930103688,1175.56937695471,716.125671706027,1294.64428202612,0.0183013487307493
"Afr_penguin","s1","Boulders",2016,870,0.110137347445846,879.033835681631,715.667823021268,1074.3522853839,649.65783177226,1190.34565046051,-0.0103301786763916
"Afr_penguin","s1","Boulders",2017,854,0.110137347445846,871.949936729622,704.673991120048,1081.93019291802,639.98639385085,1195.51673506667,-0.0208008164649627
"Afr_penguin","s1","Stony.Point",1982,1,0.110137347445846,1.00580838135898,0.816658492731132,1.2440360339712,0.741814010480099,1.37106303499642,-0.00579157774842902
"Afr_penguin","s1","Stony.Point",1983,1,0.110137347445846,1.15885769324415,0.947610606620897,1.43954796276338,0.859169284929566,1.58505191721199,-0.147434772732879
"Afr_penguin","s1","Stony.Point",1984,5,0.110137347445846,4.69833489137216,3.82225475020109,5.72647711016231,3.45594927006749,6.3328498790979,0.0622297449209714
