"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
2009,"census","fit",24582.2543463316,22674.6903188396,26742.6344934438,5191.22756285585,2541.38469646498,733.927864052012,469.574832529607,1296.65742461055,6922.81219772121,2622.33223627055,2656.12491418198,615.017616655239,821.834573929012,601.629802093977
2010,"census","fit",25761.9283448297,22253.9596611861,30821.9758410854,4838.92166044631,2541.5630017782,891.244187660824,503.720613885198,1397.73442888965,7582.71891322954,2605.56697748227,3113.65671430981,647.896763124052,840.803185420382,596.162124065532
2011,"census","fit",24603.5055461484,22603.6368825221,26922.3643649562,3851.19588976938,1854.83585996232,691.664524985833,1110.65127882471,1029.05975364047,8254.30724472623,2613.75783557986,3110.57207259082,581.075878309866,776.046188293867,621.584780256432
2012,"census","fit",23125.3728734287,21380.2357881531,25057.1898390769,2752.4895843603,1652.92642105757,793.83122703239,1775.63333043959,1269.90254850488,6829.09963620126,2743.98779850448,3272.26399303556,558.074777878158,758.035113861505,626.882061026239
2013,"census","fit",21855.9750447323,20112.4735330295,23876.7530836828,2587.43977485819,1357.25626743914,596.4916563702,2015.10728600222,1245.13606584678,7642.86812679117,1125.65461784108,3021.07916697965,604.837549869626,845.139479204051,727.848367595078
2014,"census","fit",23390.6453382241,21493.9551066596,25517.6071974919,2073.71740122916,1058.47809523273,921.815938568663,2075.38320450815,1157.72884758786,8473.38369707189,2615.23352952329,2508.45871008375,652.824930121992,894.668988760583,866.565557761636
2015,"census","fit",23759.6613644003,21947.919620739,25791.3171430103,2109.69099320986,1211.84058505378,966.974292195168,2472.5153506765,1173.08627947386,7555.613519621,2801.91798952589,2634.80243602807,501.318400800242,1074.82464985521,1171.58493075817
2016,"census","fit",22476.4551086216,19992.3666227495,25925.6724007937,1889.05846668912,1350.50238953726,880.222372331584,2345.89155862094,1316.06703948988,6233.22220387957,2614.38124907019,2711.50016336923,497.030047784412,1101.67928821504,1207.88591496035
2017,"census","fit",21699.165331944,18610.3313353249,27202.5370501202,1905.48526597551,1448.39984095307,868.190792233497,1856.12906560323,972.354867369267,6146.93453325091,2274.88295162585,2769.09066509669,492.045562205262,1133.09812203401,1250.55712929019
2018,"census","prj",22473.3725781246,19213.1515539619,28356.1842092471,1813.34200353731,1662.16142831188,1026.01401441175,2276.84046372984,894.809489659408,6013.65285081404,2362.17011376525,2845.65595266037,487.074218995737,1168.7293763136,1297.34810633249
